LakeID,Param,Value
SGL109,LOI,9.385934819896685
SGL109,SandGrains,1
SGL02,Latitude,47.19164
SGL02,Longitude,-55.43369
SGL02,Depth,0.9
SGL02,Area,8.8
SGL02,DistanceToTheSea,35
SGL02,N,0.8
SGL02,P,0.039
SGL02,SiO2,3
SGL02,DOC,26
SGL02,ODO,92.7
SGL02,pH,6.66
SGL02,Cond,4136.8
SGL02,Sal,2.31
SGL02,Temp,22.56
SGL02,LOI,58.6979496935106
SGL02,SandGrains,4
SGL110,Latitude,47.12085
SGL110,Longitude,-55.54853
SGL110,Depth,0.4
SGL110,Area,0.3
SGL110,DistanceToTheSea,1255.17
SGL110,N,0.5
SGL110,P,0.007
SGL110,SiO2,5.4
SGL110,DOC,6
SGL110,ODO,98.6
SGL110,pH,6.77
SGL110,Cond,45.7
SGL110,Sal,0.02
SGL110,Temp,20.11
SGL110,LOI,26.32549562010244
SGL110,SandGrains,4
SGL111,Latitude,47.10989
SGL111,Longitude,-55.57797
SGL111,Depth,0.3
SGL111,Area,0.07
SGL111,DistanceToTheSea,1046.9
SGL111,N,0.5
SGL111,P,0.013
SGL111,SiO2,4.4
SGL111,DOC,6
SGL111,ODO,103.6
SGL111,pH,6.26
SGL111,Cond,90.6
SGL111,Sal,0.04
SGL111,Temp,22.78
SGL111,LOI,37.57569319026921
SGL111,SandGrains,22
SGL112,Latitude,47.0969
SGL112,Longitude,-55.65522
SGL112,Depth,0.5
SGL112,Area,2.3
SGL112,DistanceToTheSea,939.39
SGL112,N,0.5
SGL112,P,0.008
SGL112,SiO2,3.5
SGL112,DOC,9
SGL112,ODO,105.4
SGL112,pH,7.48
SGL112,Cond,77.7
SGL112,Sal,0.04
SGL112,Temp,23.05
SGL112,LOI,26.739850869925412
SGL112,SandGrains,5
SGL113,Latitude,46.89979
SGL113,Longitude,-55.93596
SGL113,Depth,0.5
SGL113,Area,1.6
SGL113,DistanceToTheSea,11.62
SGL113,N,0.5
SGL113,P,0.014
SGL113,SiO2,1.6
SGL113,DOC,12
SGL113,ODO,93.2
SGL113,pH,6.4
SGL113,Cond,212.5
SGL113,Sal,0.1
SGL113,Temp,23.5
SGL113,LOI,6.706599088721666
SGL113,SandGrains,26465
SGL114,Latitude,46.89536
SGL114,Longitude,-55.93505
SGL114,Depth,0.8
SGL114,Area,0.2
SGL114,DistanceToTheSea,22.95
SGL114,N,1.8
SGL114,P,0.165
SGL114,SiO2,3
SGL114,DOC,38
SGL114,ODO,88.1
SGL114,pH,7.04
SGL114,Cond,1339.6
SGL114,Sal,0.68
SGL114,Temp,23.94
SGL114,LOI,66.71969455933696
SGL114,SandGrains,4
SGL115,Latitude,46.90731
SGL115,Longitude,-55.94973
SGL115,Depth,0.8
SGL115,Area,0.5
SGL115,DistanceToTheSea,18.19
SGL115,N,1.1
SGL115,P,0.069
SGL115,SiO2,2
SGL115,DOC,27
SGL115,ODO,76.6
SGL115,pH,6.86
SGL115,Cond,136.4
SGL115,Sal,0.07
SGL115,Temp,20.78
SGL115,LOI,37.08333333333384
SGL115,SandGrains,9
TL27,Latitude,46.89199
TL27,Longitude,-55.89994
TL27,Depth,0.6
TL27,Area,1.9
TL27,DistanceToTheSea,28.24
TL27,N,1.6
TL27,P,0.13
TL27,SiO2,3
TL27,DOC,38
TL27,ODO,76.2
TL27,pH,6.54
TL27,Cond,287
TL27,Sal,0.15
TL27,Temp,21
TL27,LOI,69.15367483296161
TL27,SandGrains,0
SGL116,Latitude,46.88721
SGL116,Longitude,-55.87735
SGL116,Depth,0.4
SGL116,Area,0.4
SGL116,DistanceToTheSea,401.25
SGL116,N,1.3
SGL116,P,0.04
SGL116,SiO2,3
SGL116,DOC,45
SGL116,ODO,50.7
SGL116,pH,6.37
SGL116,Cond,92.7
SGL116,Sal,0.05
SGL116,Temp,20.61
SGL116,LOI,49.64412811387984
SGL116,SandGrains,2
SGL118,Latitude,46.90722
SGL118,Longitude,-55.39996
SGL118,Depth,1.3
SGL118,Area,9.8
SGL118,DistanceToTheSea,854.17
SGL118,N,0.5
SGL118,P,0.005
SGL118,SiO2,2.7
SGL118,DOC,10
SGL118,ODO,97.5
SGL118,pH,7.85
SGL118,Cond,141.4
SGL118,Sal,0.07
SGL118,Temp,21.39
SGL118,LOI,33.14820228003516
SGL118,SandGrains,0
SGL119,Latitude,46.89475
SGL119,Longitude,-55.39602
SGL119,Depth,0.8
SGL119,Area,18.9
SGL119,DistanceToTheSea,716.43
SGL119,N,0.4
SGL119,P,0.008
SGL119,SiO2,2.7
SGL119,DOC,7
SGL119,ODO,105.7
SGL119,pH,8.01
SGL119,Cond,130.8
SGL119,Sal,0.06
SGL119,Temp,22.1
SGL119,LOI,3.646458583433408
SGL119,SandGrains,3
SGL120,Latitude,46.89299
SGL120,Longitude,-55.41082
SGL120,Depth,0.6
SGL120,Area,1.9
SGL120,DistanceToTheSea,1248.69
SGL120,N,0.7
SGL120,P,0.016
SGL120,SiO2,4.1
SGL120,DOC,23
SGL120,ODO,95.9
SGL120,pH,7.1
SGL120,Cond,89.6
SGL120,Sal,0.04
SGL120,Temp,21.1
SGL120,LOI,34.078431372548906
SGL120,SandGrains,0
SGL121,Latitude,46.90871
SGL121,Longitude,-55.41622
SGL121,Depth,0.85
SGL121,Area,0.5
SGL121,DistanceToTheSea,2047.34
SGL121,N,1
SGL121,P,0.026
SGL121,SiO2,5.4
SGL121,DOC,18
SGL121,ODO,92.8
SGL121,pH,6.89
SGL121,Cond,80.3
SGL121,Sal,0.04
SGL121,Temp,20.9
SGL121,LOI,37.213565536205714
SGL121,SandGrains,1
SGL122,Latitude,46.87534
SGL122,Longitude,-55.69045
SGL122,Depth,1.4
SGL122,Area,1.7
SGL122,DistanceToTheSea,447.99
SGL122,N,0.6
SGL122,P,0.02
SGL122,SiO2,0.7
SGL122,DOC,15
SGL122,ODO,85.7
SGL122,pH,7.01
SGL122,Cond,143.2
SGL122,Sal,0.07
SGL122,Temp,21.05
SGL122,LOI,47.34455958549265
SGL122,SandGrains,0
SGL123,Latitude,46.87708
SGL123,Longitude,-55.67191
SGL123,Depth,1.2
SGL123,Area,0.6
SGL123,DistanceToTheSea,30
SGL123,N,1.1
SGL123,P,0.077
SGL123,SiO2,4
SGL123,DOC,30
SGL123,ODO,75.9
SGL123,pH,6.49
SGL123,Cond,98.7
SGL123,Sal,0.05
SGL123,Temp,18.33
SGL123,LOI,44.2350956130483
SGL123,SandGrains,27
SGL124,Latitude,46.88071
SGL124,Longitude,-55.66911
SGL124,Depth,0.9
SGL124,Area,0.6
SGL124,DistanceToTheSea,40.77
SGL124,N,0.8
SGL124,P,0.043
SGL124,SiO2,4.3
SGL124,DOC,23
SGL124,ODO,65
SGL124,pH,6.12
SGL124,Cond,87
SGL124,Sal,0.05
SGL124,Temp,16.4
SGL124,LOI,25.952813067150668
SGL124,SandGrains,81
SGL125,Latitude,46.89559
SGL125,Longitude,-55.63379
SGL125,Depth,1.1
SGL125,Area,6.8
SGL125,DistanceToTheSea,559.25
SGL125,N,0.8
SGL125,P,0.019
SGL125,SiO2,2.4
SGL125,DOC,23
SGL125,ODO,91.6
SGL125,pH,6.73
SGL125,Cond,62.1
SGL125,Sal,0.03
SGL125,Temp,20.22
SGL125,LOI,30.11145272866979
SGL125,SandGrains,7
SGL126,Latitude,46.90152
SGL126,Longitude,-55.65267
SGL126,Depth,1.3
SGL126,Area,6.2
SGL126,DistanceToTheSea,2189.77
SGL126,N,0.6
SGL126,P,0.009
SGL126,SiO2,1.2
SGL126,DOC,10
SGL126,ODO,96.7
SGL126,pH,6.93
SGL126,Cond,51.2
SGL126,Sal,0.03
SGL126,Temp,20.5
SGL126,LOI,27.723440134907346
SGL126,SandGrains,14
SGL127,Latitude,46.86954
SGL127,Longitude,-55.78047
SGL127,Depth,0.6
SGL127,Area,0.8
SGL127,DistanceToTheSea,163
SGL127,N,1.1
SGL127,P,0.028
SGL127,SiO2,2
SGL127,DOC,31
SGL127,ODO,76.7
SGL127,pH,6.43
SGL127,Cond,79.5
SGL127,Sal,0.04
SGL127,Temp,19.61
SGL127,LOI,50.32133676092546
SGL127,SandGrains,9
SGL128,Latitude,46.87016
SGL128,Longitude,-55.80121
SGL128,Depth,1.1
SGL128,Area,0.7
SGL128,DistanceToTheSea,55
SGL128,N,0.9
SGL128,P,0.182
SGL128,SiO2,0.9
